category,slug,url
general,getting-started,https://www.warcrafttavern.com/wow-classic/guides/getting-started-with-wow-classic/
general,races,https://www.warcrafttavern.com/wow-classic/guides/races/
general,race-class-combos,https://www.warcrafttavern.com/wow-classic/guides/race-class-combos/
general,class-comparison,https://www.warcrafttavern.com/wow-classic/guides/class-comparison/
general,classes,https://www.warcrafttavern.com/wow-classic/guides/classes/
general,professions,https://www.warcrafttavern.com/wow-classic/guides/professions/
general,weapon-skill-trainers,https://www.warcrafttavern.com/wow-classic/guides/weapon-skill-trainers-and-locations/
general,threat,https://www.warcrafttavern.com/wow-classic/guides/threat-guide-reference-table/
general,dungeon-raid-healing,https://www.warcrafttavern.com/wow-classic/guides/wow-classic-dungeon-raid-healing-guide/
general,pvp,https://www.warcrafttavern.com/wow-classic/guides/pvp/
general,world-pvp,https://www.warcrafttavern.com/wow-classic/guides/world-pvp/
general,avoiding-ganking,https://www.warcrafttavern.com/wow-classic/guides/avoiding-and-escaping-ganking-while-leveling/
general,how-to-get-mount,https://www.warcrafttavern.com/wow-classic/guides/mounts/
general,glossary,https://www.warcrafttavern.com/wow-classic/guides/glossary-abbreviations-acronyms/
general,dungeon-lore,https://www.warcrafttavern.com/wow-classic/guides/dungeon-lore-compendium/
,,
dungeons,dungeons,https://www.warcrafttavern.com/wow-classic/guides/dungeons-instances/
dungeons,dungeon-leveling,https://www.warcrafttavern.com/wow-classic/guides/dungeon-leveling-guide-wow-classic/
dungeons,ragefire-chasm,https://www.warcrafttavern.com/wow-classic/guides/ragefire-chasm/
dungeons,wailing-caverns,https://www.warcrafttavern.com/wow-classic/guides/wailing-caverns/
dungeons,deadmines,https://www.warcrafttavern.com/wow-classic/guides/deadmines/
dungeons,blackfathom-deeps,https://www.warcrafttavern.com/wow-classic/guides/blackfathom-deeps/
dungeons,shadowfang-keep,https://www.warcrafttavern.com/wow-classic/guides/shadowfang-keep/
dungeons,stockade,https://www.warcrafttavern.com/wow-classic/guides/stockade/
dungeons,gnomeregan,https://www.warcrafttavern.com/wow-classic/guides/gnomeregan/
dungeons,scarlet-monastery-cathedral,https://www.warcrafttavern.com/wow-classic/guides/scarlet-monastery-cathedral/
dungeons,scarlet-monastery-armory,https://www.warcrafttavern.com/wow-classic/guides/scarlet-monastery-armory/
dungeons,scarlet-monastery-library,https://www.warcrafttavern.com/wow-classic/guides/scarlet-monastery-library/
dungeons,scarlet-monastery-graveyard,https://www.warcrafttavern.com/wow-classic/guides/scarlet-monastery-graveyard/
dungeons,razorfen-kraul,https://www.warcrafttavern.com/wow-classic/guides/razorfen-kraul/
dungeons,uldaman,https://www.warcrafttavern.com/wow-classic/guides/uldaman/
dungeons,razorfen-downs,https://www.warcrafttavern.com/wow-classic/guides/razorfen-downs/
dungeons,zulfarrak,https://www.warcrafttavern.com/wow-classic/guides/zulfarrak/
dungeons,maraudon,https://www.warcrafttavern.com/wow-classic/guides/maraudon/
dungeons,temple-of-atalhakkar,https://www.warcrafttavern.com/wow-classic/guides/temple-of-atalhakkar/
dungeons,blackrock-depths,https://www.warcrafttavern.com/wow-classic/guides/blackrock-depths/
dungeons,dire-maul-east,https://www.warcrafttavern.com/wow-classic/guides/dire-maul-east/
dungeons,dire-maul-west,https://www.warcrafttavern.com/wow-classic/guides/dire-maul-west/
dungeons,dire-maul-north,https://www.warcrafttavern.com/wow-classic/guides/dire-maul-north/
dungeons,scholomance,https://www.warcrafttavern.com/wow-classic/guides/scholomance/
dungeons,stratholme-undead,https://www.warcrafttavern.com/wow-classic/guides/stratholme-undead/
dungeons,stratholme-living,https://www.warcrafttavern.com/wow-classic/guides/stratholme-living/
,,
professions,alchemy,https://www.warcrafttavern.com/wow-classic/guides/alchemy-1-to-300/
professions,blacksmithing,https://www.warcrafttavern.com/wow-classic/guides/blacksmithing-1-300/
professions,blacksmith-specialization,https://www.warcrafttavern.com/wow-classic/guides/blacksmith-specialization-guide/
professions,enchanting,https://www.warcrafttavern.com/wow-classic/guides/enchanting-1-300/
professions,engineering,https://www.warcrafttavern.com/wow-classic/guides/engineering-1-300/
professions,engineering-specializations,https://www.warcrafttavern.com/wow-classic/guides/engineering-specializations/
professions,herbalism,https://www.warcrafttavern.com/wow-classic/guides/herbalism-1-300/
professions,leatherworking,https://www.warcrafttavern.com/wow-classic/guides/leatherworking-1-300/
professions,leatherworking-specializations,https://www.warcrafttavern.com/wow-classic/guides/leatherworking-specializations/
professions,mining,https://www.warcrafttavern.com/wow-classic/guides/mining-1-300/
professions,skinning,https://www.warcrafttavern.com/wow-classic/guides/skinning-1-300/
professions,tailoring,https://www.warcrafttavern.com/wow-classic/guides/tailoring-1-300/
professions,cooking,https://www.warcrafttavern.com/wow-classic/guides/cooking-1-300/
professions,first-aid,https://www.warcrafttavern.com/wow-classic/guides/first-aid-1-300/
professions,fishing,https://www.warcrafttavern.com/wow-classic/guides/fishing-1-300/
,,
leveling,horde,https://www.warcrafttavern.com/wow-classic/guides/horde-leveling-guide/
leveling,alliance,https://www.warcrafttavern.com/wow-classic/guides/alliance-leveling-guide/
leveling,druid,https://www.warcrafttavern.com/wow-classic/guides/druid-leveling-guide/
leveling,hunter,https://www.warcrafttavern.com/wow-classic/guides/hunter-leveling-guide/
leveling,mage,https://www.warcrafttavern.com/wow-classic/guides/mage-leveling-guide/
leveling,paladin,https://www.warcrafttavern.com/wow-classic/guides/paladin-leveling-guide/
